name,country,region,id_a,id_b,pop_a,pop_b,lat_a,lon_a,lat_b,lon_b,dist_km
Villa Mercedes,AR,AR-D,cbfda86b-cc64-48cf-b5e9-c3feeab73281,d9c3634e-4c63-46b0-99a9-28d345bddef4,111391,111391,-33.6745795,-65.4617562,-33.6745795,-65.4617562,0.0
San Ignacio Guazú,PY,PY-8,3c6f18c9-62ca-423a-80e7-9c16c7846225,a2972032-79e7-408a-883b-1df3175016ec,50468,50468,-26.8920363,-57.0256407,-26.8920363,-57.0256407,0.0
北區,TW,TW-HSZ,3f1dca88-e316-4ec0-b31e-34e97bd801fe,efaa0bb6-2099-4416-bac9-711c7207fb28,152332,152332,24.8157398,120.9704645,24.8157398,120.9704645,0.0
Hoover,US,US-AL,092594f2-2de0-458a-82ba-543aad625902,3212c29a-320e-418b-9178-e56c2a4a3bfe,92606,92606,33.3848933,-86.8070484,33.3848933,-86.8070484,0.0
Saint Cloud,US,US-MN,3d549eff-cd08-4ef1-9a64-f5de7cd8d67f,e08f82a7-ff37-4a25-9205-247b51a222e2,67109,72145,45.5616075,-94.1642004,45.5616075,-94.1642004,0.0
Guéckédou,GN,GN-N,1e0749f7-6d1b-40a7-8349-fa884a0e7643,d417494c-a54e-4a03-8c2f-7143f646a460,290611,221715,8.5616492,-10.1328278,8.561649,-10.132821,0.0007480300846506463
Randburg,ZA,ZA-GP,065460f0-9ebf-49d5-9a98-a50152e64123,e1fc6291-6b53-4d2f-8d6e-ce89dfc8a27b,335000,335000,-26.0913588,28.002109,-26.0915852,28.0020276,0.026454408340830238
ביתר עילית,XW,,396c1a44-3b12-46a9-99f4-07b2e2cefff4,865b6775-66c8-442f-ab6f-699a04737384,72412,58985,31.69913815,35.104335604660434,31.70185385,35.107316991919845,0.4132097441494174
الشيخ زايد,EG,EG-GZ,41e89ea5-1bc8-44b7-8065-633981a7a781,fc155371-f734-4683-864f-0ccb0932632e,80000,383000,30.048347,30.9832235,30.0453315,30.9797507,0.4734600154668166
بٹ خیلہ,PK,PK-KP,cdd48bd1-bdc7-48f9-9b01-5ce4130eac35,d9138ede-699c-4c94-b860-f83206943577,68200,50688,34.6134314,71.9677447,34.6159603,71.9722472,0.4988450425631873
ביתר עילית,XW,,865b6775-66c8-442f-ab6f-699a04737384,d8d00de5-5894-4247-8f7f-ed7791a5434f,58985,58985,31.70185385,35.107316991919845,31.6989467,35.1137333,0.687726622130453
Bad Kreuznach,DE,DE-RP,7cc732ec-151e-46af-a284-4bb506530533,f2b1569d-2ef4-422f-8849-1b55f5afb9ce,52385,155300,49.8431642,7.8657658,49.8490413,7.8626661,0.6902651453385621
Kissimmee,US,US-FL,59a47cca-d8dd-41a7-a6d0-5bcadb0df078,672b9edb-1aa5-4f95-be66-35f8a0272144,60894,60894,28.2918995,-81.4075838,28.285105899999998,-81.41090050441758,0.8222629659536739
ביתר עילית,XW,,396c1a44-3b12-46a9-99f4-07b2e2cefff4,d8d00de5-5894-4247-8f7f-ed7791a5434f,72412,58985,31.69913815,35.104335604660434,31.6989467,35.1137333,0.8893412303890008
Kissimmee,US,US-FL,672b9edb-1aa5-4f95-be66-35f8a0272144,a0d15214-20e1-4987-b6d9-5cf0b644a317,60894,60894,28.285105899999998,-81.41090050441758,28.2782758,-81.39828424712871,1.4501783371791348
Kissimmee,US,US-FL,59a47cca-d8dd-41a7-a6d0-5bcadb0df078,a0d15214-20e1-4987-b6d9-5cf0b644a317,60894,60894,28.2918995,-81.4075838,28.2782758,-81.39828424712871,1.767503018018941
חדרה,IL,IL-HA,1f744655-2151-4997-8fbe-8771bc9541e9,41e0e86d-e416-4547-adf2-79c97bc2db95,102223,102223,32.43699,34.9198258,32.440742,34.9401053252896,1.9483159461072108
Tuban,ID,ID-JI,407ce675-1d47-4115-8581-34fa37146f61,55746a01-47b6-4b73-a37f-be6fe888611e,88025,1266396,-6.8932791,112.0448146,-6.8964079,112.0650289,2.2584304347381763
Xai-Xai,MZ,MZ-G,54ec6e4b-4a96-4058-b311-8c7fab06d0c6,69d391a0-ff50-44ba-85c7-7806668ce19d,116343,56489,-25.044479,33.64073,-25.06568745,33.68739078391485,5.258656930983256
Kissimmee,US,US-FL,672b9edb-1aa5-4f95-be66-35f8a0272144,d069a2d1-3133-4ae6-ae6d-22ec4a9ea7cf,60894,60894,28.285105899999998,-81.41090050441758,28.2866972,-81.47125711173688,5.912621330282532
Hanumangarh,IN,IN-RJ,3351716b-50db-4090-8098-274c14dd2bd2,5a5bc287-64b4-4c33-acb3-43e0564904ba,151100,129700,29.5760254,74.3342203,29.6152878,74.2903968,6.083896552377677
Kissimmee,US,US-FL,59a47cca-d8dd-41a7-a6d0-5bcadb0df078,d069a2d1-3133-4ae6-ae6d-22ec4a9ea7cf,60894,60894,28.2918995,-81.4075838,28.2866972,-81.47125711173688,6.261316840411766
Kissimmee,US,US-FL,a0d15214-20e1-4987-b6d9-5cf0b644a317,d069a2d1-3133-4ae6-ae6d-22ec4a9ea7cf,60894,60894,28.2782758,-81.39828424712871,28.2866972,-81.47125711173688,7.206652591544252
بغلان,AF,AF-BGL,5b7d04ab-c1dd-4eb6-bb7f-087fc0579040,dedcadfc-f4e6-4c2c-9c90-67e4bedbfb74,119607,119607,36.1746897,68.7489741,36.120094,68.6818617,8.553785598137619
ပြင်ဦးလွင်,MM,MM-04,111a55ca-e5da-43b7-8079-9893113e42e8,c5c9f493-139c-4108-b546-b5fa44e3df33,255000,255000,22.0331367,96.4667341,21.4632154,96.1809397,69.90917469179881
Rosario,PH,PH-40,b59727db-5d0b-49ed-b1b3-fbb5f0d7b84e,f3641523-5838-450c-ba06-a06fef0aa936,112572,128352,14.4167151,120.8552642,13.8454343,121.2063502,73.94880590212315
铁西区,CN,CN-LN,3ea6b073-33ad-4cd0-802f-b54b81cccedf,8bbdadaa-64c0-4152-a229-1e8a3577c61b,1335935,408118,41.7989084,123.3502179,41.1177333,122.9638747,82.30149007489624
城关镇,CN,CN-GS,28317b6c-fc3f-40d5-a1fa-c2fd4214ce86,3fed6f8f-8940-4b51-b9a6-6df6be307b41,69427,150000,33.7399008,105.7296751,35.5242109,105.7194398,198.40844024255318
城关镇,CN,CN-GS,73c09cf0-481e-48bf-a3e4-1c06c1956715,a3682514-0b6c-4310-bcc6-bb34fc70df35,88342,83799,36.7339512,103.2586357,38.28566555,101.99083070039347,205.6064173529679
Палилула,RS,,0ab27a4e-f8e2-45a0-9277-2dba357437aa,dd2ff518-5804-47de-93eb-8688acba7bfb,69811,182624,43.29247615,21.883649967132015,44.938708899999995,20.440301042087317,216.28920311312558
城关镇,CN,CN-GS,a3682514-0b6c-4310-bcc6-bb34fc70df35,dd2a30d6-b57b-4d9c-82bb-0aaa07bb19a3,83799,52537,38.28566555,101.99083070039347,39.37820895,99.81039568596029,224.55524052635755
城关镇,CN,CN-GS,3fed6f8f-8940-4b51-b9a6-6df6be307b41,73c09cf0-481e-48bf-a3e4-1c06c1956715,150000,88342,35.5242109,105.7194398,36.7339512,103.2586357,258.71186742719914
城区,CN,CN-SX,25ad8c6c-e862-41bd-b41c-f0683d24b7c4,e3a14ffa-c23b-4e15-b424-e48db176c2fa,574665,225443,35.5021131,112.8472462,37.8469509,113.5942783,269.1080423083855
Roxas,PH,PH-41,690dfedf-3131-459c-a2c9-a2c5f207adca,74a7dc13-2075-494b-98f9-501f1ee9b322,53201,69729,12.5908562,121.517018,10.3196268,119.3430042,346.2737370984648
城关镇,CN,CN-GS,28317b6c-fc3f-40d5-a1fa-c2fd4214ce86,73c09cf0-481e-48bf-a3e4-1c06c1956715,69427,88342,33.7399008,105.7296751,36.7339512,103.2586357,401.4623815884405
城关镇,CN,CN-GS,73c09cf0-481e-48bf-a3e4-1c06c1956715,dd2a30d6-b57b-4d9c-82bb-0aaa07bb19a3,88342,52537,36.7339512,103.2586357,39.37820895,99.81039568596029,421.3641046114184
城关镇,CN,CN-GS,3fed6f8f-8940-4b51-b9a6-6df6be307b41,a3682514-0b6c-4310-bcc6-bb34fc70df35,150000,83799,35.5242109,105.7194398,38.28566555,101.99083070039347,451.8034773207198
城关镇,CN,CN-GS,28317b6c-fc3f-40d5-a1fa-c2fd4214ce86,a3682514-0b6c-4310-bcc6-bb34fc70df35,69427,83799,33.7399008,105.7296751,38.28566555,101.99083070039347,606.9738563505935
